,Time,Till,Transaction,Operator No,Employee,Customer No,Item,Comment,Retail Value,Sales,Promotion Amount,Discount %,Discretionary Discount,Quantity
,10:55:11,68,57753,902413,Bottaro Alana,,505486538823,xet8tq wg,269,269,,,,1
9/22/2016,Transaction 57753 Total,,,,,,,,269,269,,,,1
,11:14:20,68,57756,902413,Bottaro Alana,638885,505486538823,xr1sp65 wg,141,112.8,,-0.2,,1
,11:14:20,68,57756,902413,Bottaro Alana,638885,505486538823,xr1sp8 yg,150,120,,-0.2,,1
,11:14:20,68,57756,902413,Bottaro Alana,638885,505486538824,,15,12,,-0.2,,1
,11:14:20,68,57756,902413,Bottaro Alana,638885,505486583757,,20,16,,-0.2,,1
9/22/2016,Transaction 57756 Total,,,,,,,,326,260.8,,,,4
,11:18:02,68,57757,902413,Bottaro Alana,10411369,505486538823,stericlens,10,10,,,,1
,11:18:02,68,57757,902413,Bottaro Alana,10411369,505486538823,xr8 rg,107,107,,,,1
,11:18:02,68,57757,902413,Bottaro Alana,10411369,505486583757,,20,20,,,,1
9/22/2016,Transaction 57757 Total,,,,,,,,137,137,,,,3
,11:40:17,68,57760,902413,Bottaro Alana,100534255,505486538823,xr65 yg,100,80,,-0.2,,1
9/22/2016,Transaction 57760 Total,,,,,,,,100,80,,,,1
,12:40:01,68,57763,902413,Bottaro Alana,100265834,505486538823,e3dtrd wg,150,150,,,,1
,12:40:01,68,57763,902413,Bottaro Alana,100265834,505486538824,,15,15,,,,1
9/22/2016,Transaction 57763 Total,,,,,,,,165,165,,,,2
,13:15:25,68,57766,902413,Bottaro Alana,100406964,505486538823,xr1sp65bkop rg,187,187,,,,1
,13:15:25,68,57766,902413,Bottaro Alana,100406964,505486538823,xsr8d rg,383,383,,,,1
,13:15:25,68,57766,902413,Bottaro Alana,100406964,505486538824,,15,15,,,,1
,13:15:25,68,57766,902413,Bottaro Alana,100406964,505486583757,,20,20,,,,1
9/22/2016,Transaction 57766 Total,,,,,,,,605,605,,,,4
,13:19:34,68,57767,902376,Wilkinson India Megan,10398352,505486538823,xrsc5d rg,223,223,,,,1
,13:19:34,68,57767,902376,Wilkinson India Megan,10398352,505486538823,xsc15d rg,178,178,,,,1
,13:19:34,68,57767,902376,Wilkinson India Megan,10398352,505486538823,xsc15d rh,178,178,,,,1
9/22/2016,Transaction 57767 Total,,,,,,,,579,579,,,,3
,13:38:45,68,57770,902586,Tunney Paisley,,505486538823,xbf rg,119,119,,,,1
9/22/2016,Transaction 57770 Total,,,,,,,,119,119,,,,1
,13:42:08,68,57771,902413,Bottaro Alana,100497972,505486538823,eet2cdba65d rg,684,684,,,,1
,13:42:08,68,57771,902413,Bottaro Alana,100497972,505486538823,epaisrd wg,87,87,,,,1
9/22/2016,Transaction 57771 Total,,,,,,,,771,771,,,,2
,13:52:27,68,57774,902413,Bottaro Alana,446500,505486538823,xiv35d wg,725,725,,,,1
,13:52:27,68,57774,902413,Bottaro Alana,446500,505486538823,xr8 yg,107,107,,,,1
9/22/2016,Transaction 57774 Total,,,,,,,,832,832,,,,2
,13:56:44,68,57777,902586,Tunney Paisley,100542661,505486538822,,15,15,,,,1
,13:56:44,68,57777,902586,Tunney Paisley,100542661,505486538823,xr65 wg,100,100,,,,1
9/22/2016,Transaction 57777 Total,,,,,,,,115,115,,,,2
,14:28:05,68,57780,902586,Tunney Paisley,,505486538823,xr65 yg,100,100,,,,1
